session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Computer operating system,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
60886d4c7f454e492da75cfb,5fceb8342eb3f717cf22535d,APPROVED,2021-04-27 20:00:14.121000,2021-04-27 20:12:53.673000,759.552,29,109,0,100,2021-04-28 12:06:47.142000,72B34593,,Hong Kong,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",,"English, Afrikaans, Chinese",South Africa,Female,Yes
608956a23cd9da27daf45784,60476f1066359525d8621ce3,APPROVED,2021-04-28 12:35:46.551000,2021-04-28 12:50:00.926000,854.375,20,55,1,100,2021-04-30 08:06:32.101000,72B34593,Windows 10 Home Edition,Portugal,Portugal,Other,DATA EXPIRED,"English, Portuguese",Portugal,Male,Yes
608956a26509a7068834a24c,607c15594d9b34a6c13658c6,APPROVED,2021-04-28 12:40:35.814000,2021-04-28 12:58:31.898000,1076.084,29,41,0,100,2021-04-30 08:05:50.735000,72B34593,Windows 10 Pro Edition,Netherlands,Netherlands,Part-Time,,"Dutch, English",Netherlands,Male,No
608956a2c0ad21fe689c05fa,606781fa7584b511b845d52c,APPROVED,2021-04-28 12:44:08.767000,2021-04-28 12:58:56.646000,887.879,22,36,0,100,2021-04-30 08:05:54.760000,72B34593,Windows 10 (Other Editions),Portugal,Portugal,Unemployed (and job seeking),,"English, Portuguese",Portugal,Male,Yes
608956a31dd3f9c589107612,5d87bab7c0024a000193a437,RETURNED,2021-04-28 12:35:51.702000,,438709.18324,50,208,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608956a3ddd887df72a89df8,6047a81d9fa4a0000a797393,APPROVED,2021-04-28 12:36:16.297000,2021-04-28 13:09:02.830000,1966.533,18,51,1,100,2021-04-30 08:06:04.727000,72B34593,Windows 10 Home Edition,Portugal,Portugal,Other,,"Portuguese, English",Portugal,Male,Yes
608956a43cd9da27daf45785,6065d2fa239647515ca63a33,APPROVED,2021-04-28 12:36:37.364000,2021-04-28 12:51:55.719000,918.355,23,47,0,100,2021-04-30 08:05:55.857000,72B34593,Windows 10 Home Edition,United Kingdom,United Kingdom,Part-Time,,"English, Punjabi",United Kingdom,Male,No
608956a44e04c31574fbecda,5f913ec69877940008988e41,APPROVED,2021-04-28 12:35:58.450000,2021-04-28 12:49:52.866000,834.416,19,40,2,96,2021-04-30 08:09:38.595000,72B34593,Windows (Other versions),Poland,Poland,Part-Time,DATA EXPIRED,"English, Polish",Poland,Female,Yes
608956a487ee277b794ecbf2,601b15a943f34247d7fef14b,RETURNED,2021-04-28 12:35:47.946000,,438712.96859,19,52,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608956a4f01a36cb82c93984,5f58097557f42935204ffb37,APPROVED,2021-04-28 12:36:02.490000,2021-04-28 12:49:47.178000,824.688,19,78,0,100,2021-04-30 08:09:40.282000,72B34593,Windows 10 Home Edition,Portugal,Portugal,Other,DATA EXPIRED,"Portuguese, English",Portugal,Female,Yes
608956a69c777ea2e29ef03b,5e14318a2fc478a3fba28d4c,RETURNED,2021-04-28 12:35:50.090000,,438710.833683,21,86,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608957f7a2bb1cc2099f396d,5ed590bf481c4512b168946f,APPROVED,2021-04-28 12:41:27.748000,2021-04-28 12:57:00.265000,932.517,27,181,2,100,2021-04-30 08:09:40.563000,72B34593,Windows 10 Home Edition,Hungary,Hungary,Full-Time,Hungarian,"Hungarian, English",Hungary,Male,No
60895844cf16921fa822a291,5c4214996ca3080001d3b4c1,APPROVED,2021-04-28 12:42:44.932000,2021-04-28 13:09:18.158000,1593.226,31,290,2,99,2021-04-30 08:09:42.315000,72B34593,Windows 10 (Unsure of the edition),Hungary,Hungary,Full-Time,Hungarian,"English, Hungarian",Hungary,Female,No
60895c41c57936992e0a60e6,607d93e1e9d80a022991650f,APPROVED,2021-04-28 12:59:45.173000,2021-04-28 13:24:44.528000,1499.355,30,39,0,100,2021-04-30 08:05:49.957000,72B34593,Windows 10 Pro Edition,Germany,,,,"German, Polish, English",Poland,Male,No
608968237a468429142df2bd,5fe24f4dcb7697decd41db77,APPROVED,2021-04-28 13:51:22,2021-04-28 14:07:42.393000,980.393,26,32,0,100,2021-04-30 08:09:46.580000,72B34593,Windows 10 Home Edition,Italy,Italy,Other,,"English, Italian",Italy,Female,Yes
608968241939bfe0777f9df6,5ab3957af5918d00012e90cc,APPROVED,2021-04-28 13:50:33.178000,2021-04-28 14:05:55.309000,922.131,45,821,11,97,2021-04-30 08:09:46.693000,72B34593,Windows 10 Home Edition,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
60896824f752a60363fd8dcd,6047ff03cb24e712c17514b7,APPROVED,2021-04-28 13:50:28.545000,2021-04-28 14:04:29.422000,840.877,21,66,0,100,2021-04-30 08:06:04.207000,72B34593,Windows 10 (Unsure of the edition),Portugal,Portugal,Other,,"Portuguese, English",Portugal,Male,Yes
608968253538327b0f956891,60880896eb106870d4813842,APPROVED,2021-04-28 13:50:39.484000,2021-04-28 14:06:26.819000,947.335,23,15,0,100,2021-04-30 08:05:46.234000,72B34593,Windows 10 Home Edition,Portugal,Portugal,Full-Time,,"Portuguese, English, Spanish",Portugal,Male,No
608968255049d0a71127e47c,5dc4bc30569be3387eb6b52f,APPROVED,2021-04-28 13:50:29.173000,2021-04-28 14:12:18.873000,1309.7,26,274,0,100,2021-04-30 08:09:49.198000,72B34593,Windows 10 Pro Edition,Italy,Italy,Other,Italian,"Italian, English",Italy,Male,No
6089682561aa82acd813cf45,6069f9a16164d8e1747bb021,APPROVED,2021-04-28 13:51:09.962000,2021-04-28 14:06:06.940000,896.978,19,33,0,100,2021-04-30 08:05:54.437000,72B34593,Windows 10 (Unsure of the edition),Latvia,Latvia,"Not in paid work (e.g. homemaker', 'retired or disabled)",,"Latvian, English",Latvia,Female,No
60896825737c0f768a62f2c8,5ff984b5faa79c27d0c5a399,APPROVED,2021-04-28 13:50:29.271000,2021-04-28 14:04:41.442000,852.171,24,45,0,100,2021-04-30 08:09:50.743000,72B34593,,Italy,Italy,Part-Time,,"English, Italian",Italy,Male,Yes
608968263f188ea7b984d6bb,5e3844c9244f9d04ebae9b97,APPROVED,2021-04-28 13:50:30.439000,2021-04-28 14:05:05.769000,875.33,22,183,2,99,2021-04-30 08:09:50.713000,72B34593,Windows 10 Home Edition,Poland,Poland,Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,Yes
